K,W,AvgRecall,AvgAF,QPS
8,10,0.020000,1.281992,99.378388
8,20,0.020000,1.314994,105.677525
8,30,0.000000,1.300859,67.862218
8,40,0.040000,1.290957,69.488309
8,50,0.020000,1.262906,70.453346
9,10,0.010000,1.291002,72.695551
9,20,0.030000,1.293121,95.129195
9,30,0.070000,1.290906,76.604872
9,40,0.020000,1.297318,66.696235
9,50,0.030000,1.291872,71.502474
10,10,0.020000,1.304140,98.113667
10,20,0.050000,1.265325,82.122371
10,30,0.010000,1.309588,63.672935
10,40,0.040000,1.298199,74.360334
10,50,0.010000,1.274100,80.743225
11,10,0.030000,1.300888,72.717013
11,20,0.010000,1.298076,75.971216
11,30,0.040000,1.295122,66.137216
11,40,0.010000,1.302060,79.380514
11,50,0.050000,1.266402,73.142081
12,10,0.040000,1.272724,76.123777
12,20,0.030000,1.308757,109.238401
12,30,0.030000,1.287179,82.854847
12,40,0.040000,1.290036,87.044853
12,50,0.050000,1.284289,98.422969
