KCLUSTERS,NPROBE,M,NBITS,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
10,20,16,8,0.440000,1.047369,0.108577,0.114538,9.210055
10,20,28,8,0.550000,1.025996,0.119094,0.114538,8.396724
10,20,56,8,0.720000,1.007017,0.128203,0.114538,7.800123
10,20,98,8,0.700000,1.006441,0.132651,0.114538,7.538579
10,40,16,8,0.410000,1.060426,0.112504,0.114538,8.888598
10,40,28,8,0.490000,1.029819,0.120062,0.114538,8.329027
10,40,56,8,0.780000,1.005850,0.123399,0.114538,8.103769
10,40,98,8,0.790000,1.005983,0.137698,0.114538,7.262251
20,20,16,8,0.410000,1.058250,0.114156,0.114538,8.759920
20,20,28,8,0.450000,1.033729,0.118935,0.114538,8.407969
20,20,56,8,0.740000,1.006919,0.134466,0.114538,7.436828
20,20,98,8,0.680000,1.007836,0.136985,0.114538,7.300054
20,40,16,8,0.370000,1.052946,0.119362,0.114538,8.377886
20,40,28,8,0.440000,1.029858,0.128207,0.114538,7.799885
20,40,56,8,0.650000,1.009610,0.137908,0.114538,7.251197
20,40,98,8,0.750000,1.004132,0.142319,0.114538,7.026469
50,20,16,8,0.390000,1.056985,0.118238,0.114538,8.457526
50,20,28,8,0.460000,1.036192,0.127623,0.114538,7.835570
50,20,56,8,0.770000,1.005870,0.108644,0.114538,9.204343
50,20,98,8,0.710000,1.010816,0.116443,0.114538,8.587857
50,40,16,8,0.440000,1.051510,0.110526,0.114538,9.047606
50,40,28,8,0.550000,1.020335,0.122523,0.114538,8.161745
50,40,56,8,0.760000,1.007284,0.115802,0.114538,8.635441
50,40,98,8,0.790000,1.006380,0.135593,0.114538,7.375016
60,20,16,8,0.420000,1.049813,0.102803,0.114538,9.727381
60,20,28,8,0.500000,1.030207,0.122387,0.114538,8.170781
60,20,56,8,0.710000,1.008912,0.134780,0.114538,7.419482
60,20,98,8,0.740000,1.006656,0.145503,0.114538,6.872706
60,40,16,8,0.440000,1.052522,0.121331,0.114538,8.241910
60,40,28,8,0.470000,1.030053,0.136924,0.114538,7.303301
60,40,56,8,0.730000,1.007215,0.124650,0.114538,8.022435
60,40,98,8,0.820000,1.004828,0.119700,0.114538,8.354197
