file,algorithm,k,L,w,AF,Recall,tApprox,tTrue,QPS
runs/lsh_mnist/run_k6_L20_w45.txt,LSH,6,20,45,1.201246,0.17,0.000626,0.114538,1597.393055
runs/lsh_mnist/run_k3_L10_w60.txt,LSH,3,10,60,1.020725,0.75,0.016731,0.114538,59.76779
runs/lsh_mnist/run_k3_L20_w35.txt,LSH,3,20,35,1.03853,0.56,0.008013,0.114538,124.789574
runs/lsh_mnist/run_k3_L15_w30.txt,LSH,3,15,30,1.073308,0.41,0.004031,0.114538,248.049094
runs/lsh_mnist/run_k3_L5_w35.txt,LSH,3,5,35,1.123514,0.23,0.001956,0.114538,511.336326
runs/lsh_mnist/run_k6_L10_w60.txt,LSH,6,10,60,1.156134,0.22,0.000585,0.114538,1708.525542
runs/lsh_mnist/run_k3_L20_w55.txt,LSH,3,20,55,1.008678,0.83,0.025562,0.114538,39.120799
runs/lsh_mnist/run_k6_L5_w60.txt,LSH,6,5,60,1.228651,0.14,0.000307,0.114538,3260.089978
runs/lsh_mnist/run_k3_L10_w55.txt,LSH,3,10,55,1.026491,0.65,0.013566,0.114538,73.712772
runs/lsh_mnist/run_k3_L5_w80.txt,LSH,3,5,80,1.019956,0.72,0.01828,0.114538,54.703727
runs/lsh_mnist/run_k6_L10_w50.txt,LSH,6,10,50,1.247096,0.15,0.000309,0.114538,3233.316089
runs/lsh_mnist/run_k3_L20_w40.txt,LSH,3,20,40,1.02009,0.67,0.011166,0.114538,89.560313
runs/lsh_mnist/run_k3_L10_w40.txt,LSH,3,10,40,1.049049,0.5,0.005759,0.114538,173.628595
runs/lsh_mnist/run_k3_L20_w60.txt,LSH,3,20,60,1.008428,0.89,0.03068,0.114538,32.595045
runs/lsh_mnist/run_k6_L10_w100.txt,LSH,6,10,100,1.023292,0.74,0.005362,0.114538,186.50975
runs/lsh_mnist/run_k6_L20_w40.txt,LSH,6,20,40,1.251863,0.21,0.00046,0.114538,2173.251619
runs/lsh_mnist/run_k3_L10_w80.txt,LSH,3,10,80,1.002492,0.92,0.032806,0.114538,30.482387
runs/lsh_mnist/run_k3_L10_w45.txt,LSH,3,10,45,1.045452,0.5,0.007741,0.114538,129.188618
runs/lsh_mnist/run_k3_L5_w120.txt,LSH,3,5,120,1.007181,0.92,0.04153,0.114538,24.078898
runs/lsh_mnist/run_k3_L5_w50.txt,LSH,3,5,50,1.068691,0.4,0.005388,0.114538,185.613127
runs/lsh_mnist/run_k6_L20_w120.txt,LSH,6,20,120,1.00173,0.95,0.02282,0.114538,43.820691
runs/lsh_mnist/run_k6_L5_w100.txt,LSH,6,5,100,1.056232,0.53,0.002876,0.114538,347.745047
runs/lsh_mnist/run_k3_L15_w45.txt,LSH,3,15,45,1.030045,0.66,0.012166,0.114538,82.197298
runs/lsh_mnist/run_k3_L15_w35.txt,LSH,3,15,35,1.05214,0.49,0.006562,0.114538,152.396511
runs/lsh_mnist/run_k6_L10_w120.txt,LSH,6,10,120,1.007502,0.86,0.011542,0.114538,86.639797
runs/lsh_mnist/run_k3_L15_w40.txt,LSH,3,15,40,1.02956,0.62,0.008787,0.114538,113.800728
runs/lsh_mnist/run_k6_L20_w100.txt,LSH,6,20,100,1.014065,0.83,0.010565,0.114538,94.6552
runs/lsh_mnist/run_k6_L15_w120.txt,LSH,6,15,120,1.003275,0.92,0.020645,0.114538,48.438371
runs/lsh_mnist/run_k3_L10_w35.txt,LSH,3,10,35,1.089945,0.33,0.004007,0.114538,249.583196
runs/lsh_mnist/run_k3_L10_w100.txt,LSH,3,10,100,1.000938,0.98,0.049983,0.114538,20.006978
runs/lsh_mnist/run_k6_L10_w45.txt,LSH,6,10,45,1.297084,0.14,0.000199,0.114538,5028.916269
runs/lsh_mnist/run_k3_L5_w60.txt,LSH,3,5,60,1.047546,0.49,0.008863,0.114538,112.828741
runs/lsh_mnist/run_k3_L15_w60.txt,LSH,3,15,60,1.011318,0.85,0.025813,0.114538,38.739479
runs/lsh_mnist/run_k3_L5_w100.txt,LSH,3,5,100,1.016554,0.79,0.029873,0.114538,33.475134
runs/lsh_mnist/run_k6_L20_w55.txt,LSH,6,20,55,1.108994,0.32,0.000901,0.114538,1110.099687
runs/lsh_mnist/run_k3_L20_w100.txt,LSH,3,20,100,1.0,1.0,0.076034,0.114538,13.151982
runs/lsh_mnist/run_k3_L15_w80.txt,LSH,3,15,80,1.001095,0.95,0.047755,0.114538,20.940058
runs/lsh_mnist/run_k6_L10_w55.txt,LSH,6,10,55,1.179991,0.2,0.000419,0.114538,2385.951517
runs/lsh_mnist/run_k3_L10_w120.txt,LSH,3,10,120,1.000654,0.98,0.066442,0.114538,15.050705
runs/lsh_mnist/run_k6_L15_w100.txt,LSH,6,15,100,1.017157,0.8,0.008648,0.114538,115.633405
runs/lsh_mnist/run_k3_L5_w30.txt,LSH,3,5,30,1.148775,0.19,0.001275,0.114538,784.110779
runs/lsh_mnist/run_k6_L15_w40.txt,LSH,6,15,40,1.279599,0.17,0.000237,0.114538,4223.508046
runs/lsh_mnist/run_k3_L15_w50.txt,LSH,3,15,50,1.014189,0.78,0.016393,0.114538,61.002466
runs/lsh_mnist/run_k3_L20_w30.txt,LSH,3,20,30,1.057931,0.46,0.005142,0.114538,194.477992
runs/lsh_mnist/run_k3_L15_w120.txt,LSH,3,15,120,1.0,1.0,0.081378,0.114538,12.288297
runs/lsh_mnist/run_k6_L5_w120.txt,LSH,6,5,120,1.036937,0.62,0.005905,0.114538,169.336253
runs/lsh_mnist/run_k6_L20_w60.txt,LSH,6,20,60,1.089789,0.36,0.001164,0.114538,859.460946
runs/lsh_mnist/run_k3_L5_w45.txt,LSH,3,5,45,1.081193,0.32,0.003928,0.114538,254.58767
runs/lsh_mnist/run_k6_L15_w50.txt,LSH,6,15,50,1.195837,0.19,0.000448,0.114538,2233.738385
runs/lsh_mnist/run_k3_L20_w45.txt,LSH,3,20,45,1.022022,0.72,0.015381,0.114538,65.01735
runs/lsh_mnist/run_k3_L10_w50.txt,LSH,3,10,50,1.026157,0.65,0.010734,0.114538,93.160787
runs/lsh_mnist/run_k6_L5_w55.txt,LSH,6,5,55,1.287733,0.14,0.000239,0.114538,4190.763557
runs/lsh_mnist/run_k3_L5_w40.txt,LSH,3,5,40,1.095301,0.28,0.002932,0.114538,341.022248
runs/lsh_mnist/run_k6_L10_w40.txt,LSH,6,10,40,1.340305,0.13,0.000161,0.114538,6217.745446
runs/lsh_mnist/run_k3_L20_w120.txt,LSH,3,20,120,1.0,1.0,0.089125,0.114538,11.220167
runs/lsh_mnist/run_k3_L5_w55.txt,LSH,3,5,55,1.064048,0.38,0.006915,0.114538,144.616506
runs/lsh_mnist/run_k3_L15_w100.txt,LSH,3,15,100,1.000049,0.99,0.066659,0.114538,15.001691
runs/lsh_mnist/run_k3_L20_w80.txt,LSH,3,20,80,1.0,1.0,0.055126,0.114538,18.140224
runs/lsh_mnist/run_k3_L15_w55.txt,LSH,3,15,55,1.010836,0.81,0.020686,0.114538,48.342995
runs/lsh_mnist/run_k6_L15_w80.txt,LSH,6,15,80,1.039806,0.6,0.002956,0.114538,338.257231
runs/lsh_mnist/run_k6_L20_w50.txt,LSH,6,20,50,1.163364,0.23,0.000749,0.114538,1335.345254
runs/lsh_mnist/run_k6_L5_w50.txt,LSH,6,5,50,1.32552,0.09,0.000147,0.114538,6798.558706
runs/lsh_mnist/run_k3_L10_w30.txt,LSH,3,10,30,1.099382,0.32,0.002517,0.114538,397.339415
runs/lsh_mnist/run_k6_L5_w45.txt,LSH,6,5,45,1.444324,0.09,0.000102,0.114538,9788.566954
runs/lsh_mnist/run_k6_L10_w80.txt,LSH,6,10,80,1.060223,0.52,0.002017,0.114538,495.763699
runs/lsh_mnist/run_k6_L20_w35.txt,LSH,6,20,35,1.34539,0.15,0.00031,0.114538,3222.37618
runs/lsh_mnist/run_k3_L20_w50.txt,LSH,3,20,50,1.009214,0.82,0.019699,0.114538,50.762787
runs/lsh_mnist/run_k6_L15_w60.txt,LSH,6,15,60,1.117435,0.29,0.000839,0.114538,1191.568462
runs/lsh_mnist/run_k6_L5_w80.txt,LSH,6,5,80,1.105511,0.38,0.001039,0.114538,962.890211
runs/lsh_mnist/run_k6_L15_w45.txt,LSH,6,15,45,1.242912,0.15,0.000305,0.114538,3276.754702
runs/lsh_mnist/run_k6_L15_w55.txt,LSH,6,15,55,1.145588,0.27,0.000606,0.114538,1651.282221
runs/lsh_mnist/run_k6_L20_w80.txt,LSH,6,20,80,1.026773,0.67,0.004123,0.114538,242.521839
